year	venue	title	pdf_path	known_arxiv_id	planned_directory	skip_reason
		Programming Massively Parallel Processors	/home/undefined/Desktop/ai/papers/Programming Massively Parallel Processors.pdf			excluded-pmpp
2015	ICML	Batch Normalization Accelerating Deep Network Training by Reducing Internal Covariate Shift	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2015ICML-Batch Normalization Accelerating Deep Network Training by Reducing Internal Covariate Shift.pdf		2015ICML-Batch Normalization Accelerating Deep Network Training by Reducing Internal Covariate Shift	
2016	arXiv	Layer Normalization	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2016arXiv-Layer Normalization.pdf	1607.06450	2016arXiv-Layer Normalization	
2017	ICLR	Outrageously Large Neural Networks The Sparsely-Gated Mixture-of-Experts Layer	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2017ICLR-Outrageously Large Neural Networks The Sparsely-Gated Mixture-of-Experts Layer.pdf	1701.06538	2017ICLR-Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer	
2017	NeurIPS	Attention Is All You Need	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2017NeurIPS-Attention Is All You Need.pdf	1706.03762	2017NeurIPS-Attention Is All You Need	
2018	IPDPSW	NVIDIA Tensor Core Programmability Performance and Precision	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2018IPDPSW-NVIDIA Tensor Core Programmability Performance and Precision.pdf	1803.04014	2018IPDPSW-NVIDIA Tensor Core Programmability, Performance and Precision	
2018	NeurIPS	Mesh-TensorFlow Deep Learning for Supercomputers	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2018NeurIPS-Mesh-TensorFlow Deep Learning for Supercomputers.pdf	1811.02084	2018NeurIPS-Mesh-TensorFlow: Deep Learning for Supercomputers	
2018	NeurIPS	Neural Ordinary Differential Equations	/home/undefined/Desktop/ai/papers/Math/2018NeurIPS-Neural Ordinary Differential Equations.pdf		2018NeurIPS-Neural Ordinary Differential Equations	
2018	OSDI	TVM An Automated End-to-End Optimizing Compiler for Deep Learning	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2018OSDI-TVM An Automated End-to-End Optimizing Compiler for Deep Learning.pdf	1802.04799	2018OSDI-TVM: An Automated End-to-End Optimizing Compiler for Deep Learning	
2018	arXiv	Online Normalizer Calculation for Softmax	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2018arXiv-Online Normalizer Calculation for Softmax.pdf	1805.02867	2018arXiv-Online normalizer calculation for softmax	
2018	arXiv	Tensor Comprehensions Framework-Agnostic High-Performance Machine Learning Abstractions	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2018arXiv-Tensor Comprehensions Framework-Agnostic High-Performance Machine Learning Abstractions.pdf		2018arXiv-Tensor Comprehensions Framework-Agnostic High-Performance Machine Learning Abstractions	
2019	NeurIPS	GPipe Easy Scaling with Micro-Batch Pipeline Parallelism	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2019NeurIPS-GPipe Easy Scaling with Micro-Batch Pipeline Parallelism.pdf		2019NeurIPS-GPipe Easy Scaling with Micro-Batch Pipeline Parallelism	
2019	NeurIPS	Root Mean Square Layer Normalization	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2019NeurIPS-Root Mean Square Layer Normalization.pdf	1910.07467	2019NeurIPS-Root Mean Square Layer Normalization	
2019	NeurIPS	Understanding and Improving Layer Normalization	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2019NeurIPS-Understanding and Improving Layer Normalization.pdf		2019NeurIPS-Understanding and Improving Layer Normalization	
2019	OpenAI	Language Models are Unsupervised Multitask Learners	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2019OpenAI-Language Models are Unsupervised Multitask Learners.pdf		2019OpenAI-Language Models are Unsupervised Multitask Learners	
2019	arXiv	Fast Transformer Decoding One Write-Head is All You Need	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2019arXiv-Fast Transformer Decoding One Write-Head is All You Need.pdf	1911.02150	2019arXiv-Fast Transformer Decoding: One Write-Head is All You Need	
2019	arXiv	Megatron-LM Training Multi-Billion Parameter Language Models Using Model Parallelism	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2019arXiv-Megatron-LM Training Multi-Billion Parameter Language Models Using Model Parallelism.pdf	1909.08053	2019arXiv-Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism	
2020	ICML	On Layer Normalization in the Transformer Architecture	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2020ICML-On Layer Normalization in the Transformer Architecture.pdf	2002.04745	2020ICML-On Layer Normalization in the Transformer Architecture	
2020	MLSys	Blink Fast and Generic Collectives for Distributed ML	/home/undefined/Desktop/ai/papers/07_communication_hardware/2020MLSys-Blink Fast and Generic Collectives for Distributed ML.pdf	1910.04940	2020MLSys-Blink: Fast and Generic Collectives for Distributed ML	
2020	NVIDIA	NVIDIA A100 Tensor Core GPU Architecture	/home/undefined/Desktop/ai/papers/07_communication_hardware/2020NVIDIA-NVIDIA A100 Tensor Core GPU Architecture.pdf		2020NVIDIA-NVIDIA A100 Tensor Core GPU Architecture	
2020	NeurIPS	Language Models are Few-Shot Learners	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2020NeurIPS-Language Models are Few-Shot Learners.pdf	2005.14165	2020NeurIPS-Language Models are Few-Shot Learners	
2020	SC	ZeRO Memory Optimizations Toward Training Trillion Parameter Models	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2020SC-ZeRO Memory Optimizations Toward Training Trillion Parameter Models.pdf	1910.02054	2020SC-ZeRO: Memory Optimizations Toward Training Trillion Parameter Models	
2020	arXiv	GLU Variants Improve Transformer	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2020arXiv-GLU Variants Improve Transformer.pdf	2002.05202	2020arXiv-GLU Variants Improve Transformer	
2020	arXiv	Scaling Laws for Neural Language Models	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2020arXiv-Scaling Laws for Neural Language Models.pdf	2001.08361	2020arXiv-Scaling Laws for Neural Language Models	
2020	arXiv	The Pile An 800GB Dataset of Diverse Text for Language Modeling	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2020arXiv-The Pile An 800GB Dataset of Diverse Text for Language Modeling.pdf	2101.00027	2020arXiv-The Pile: An 800GB Dataset of Diverse Text for Language Modeling	
2021	ICLR	GShard Scaling Giant Models with Conditional Computation and Automatic Sharding	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2021ICLR-GShard Scaling Giant Models with Conditional Computation and Automatic Sharding.pdf	2006.16668	2021ICLR-GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding	
2021	PPoPP	Synthesizing Optimal Collective Algorithms	/home/undefined/Desktop/ai/papers/07_communication_hardware/2021PPoPP-Synthesizing Optimal Collective Algorithms.pdf	2008.08708	2021PPoPP-Synthesizing Optimal Collective Algorithms	
2021	SC	Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2021SC-Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM.pdf	2104.04473	2021SC-Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM	
2021	SC	ZeRO-Infinity Breaking the GPU Memory Wall for Extreme Scale Deep Learning	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2021SC-ZeRO-Infinity Breaking the GPU Memory Wall for Extreme Scale Deep Learning.pdf	2104.07857	2021SC-ZeRO-Infinity: Breaking the GPU Memory Wall for Extreme Scale Deep Learning	
2021	USENIXATC	ZeRO-Offload Democratizing Billion-Scale Model Training	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2021USENIXATC-ZeRO-Offload Democratizing Billion-Scale Model Training.pdf	2101.06840	2021USENIXATC-ZeRO-Offload: Democratizing Billion-Scale Model Training	
